IDMESA,CODI_MESA,COD_PROV,CODI_LOCAL,MUNICIPI,COMARCA,G35,CODI_MUNICIPI,DISTRICTE,SECCIO,SUBSECCIO,MESA,LLETRA_INICI,LLETRA_FI,CODI_LOCAL_ORIGEN,CODI_LOCAL,LOCAL_ELECTORAL_ADRECA,LOCAL_ELECTORAL,ADRECA,IDMESAMESESCOLA,NOSEQUEES
2,1700101001U,17,c1621,AGULLANA,ALT EMPORDA,ALTEMPORDA1G35,1,1,1,,U,A,Z,,c1621,AJUNTAMENT D'AGULLANA (BAIXOS) ; C/ LLUÍS GOMIS 2,AJUNTAMENT D'AGULLANA (BAIXOS),C/ LLUÍS GOMIS 2,2#1700101001U#AJUNTAMENT D'AGULLANA (BAIXOS) ; C/ LLUÍS GOMIS 2,
3,1700301001U,17,c1623,ALBANYÀ,ALT EMPORDA,ALTEMPORDA1G35,3,1,1,,U,A,Z,,c1623,LOCAL POLIVALENT MUNICIPAL ; C/ FIGUERES 15,LOCAL POLIVALENT MUNICIPAL,C/ FIGUERES 15,3#1700301001U#LOCAL POLIVALENT MUNICIPAL ; C/ FIGUERES 15,
4,1701101001U,17,c1631,ARMENTERA (L'),ALT EMPORDA,ALTEMPORDA1G35,11,1,1,,U,A,Z,,c1631,AJUNTAMENT DE L'ARMENTERA ; CARRE PAU CASALS 2,AJUNTAMENT DE L'ARMENTERA,CARRE PAU CASALS 2,4#1701101001U#AJUNTAMENT DE L'ARMENTERA ; CARRE PAU CASALS 2,
5,1701201001A,17,c1632,AVINYONET DE PUIGVENTÓS,ALT EMPORDA,ALTEMPORDA1G35,12,1,1,,A,A,L,,c1632,CENTRE CIVIC ; C/ AJUNTAMENT 4,CENTRE CIVIC,C/ AJUNTAMENT 4,5#1701201001A#CENTRE CIVIC ; C/ AJUNTAMENT 4,
6,1701201001B,17,c1632,AVINYONET DE PUIGVENTÓS,ALT EMPORDA,ALTEMPORDA1G35,12,1,1,,B,M,Z,,c1632,CENTRE CIVIC ; C/ AJUNTAMENT 4,CENTRE CIVIC,C/ AJUNTAMENT 4,6#1701201001B#CENTRE CIVIC ; C/ AJUNTAMENT 4,
7,1701601001U,17,c1643,BÀSCARA,ALT EMPORDA,ALTEMPORDA1G35,16,1,1,,U,A,Z,,c1643,AJUNTAMENT DE BÀSCARA (BAIXOS) ; PLAÇA MAJOR 2,AJUNTAMENT DE BÀSCARA (BAIXOS),PLAÇA MAJOR 2,7#1701601001U#AJUNTAMENT DE BÀSCARA (BAIXOS) ; PLAÇA MAJOR 2,
8,1723401001U,17,c2009,BIURE,ALT EMPORDA,ALTEMPORDA1G35,234,1,1,,U,A,Z,,c2009,CENTRE CIVIC ; C/ FONT 2,CENTRE CIVIC,C/ FONT 2,8#1723401001U#CENTRE CIVIC ; C/ FONT 2,
9,1702901001U,17,c1678,BOADELLA I LES ESCAULES,ALT EMPORDA,ALTEMPORDA1G35,29,1,1,,U,A,Z,,c1678,AJUNTAMENT DE BOADELLA I LES ESCAULES (SALA DE PLENS) ; CARRE CREU (DE LA ) 1  BOADELLA,AJUNTAMENT DE BOADELLA I LES ESCAULES (SALA DE PLENS),CARRE CREU (DE LA ) 1  BOADELLA,9#1702901001U#AJUNTAMENT DE BOADELLA I LES ESCAULES (SALA DE PLENS) ; CARRE CREU (DE LA ) 1  BOADELLA,
10,1702601001U,17,c1675,BORRASSÀ,ALT EMPORDA,ALTEMPORDA1G35,26,1,1,,U,A,Z,,c1675,AJUNTAMENT DE BORRASSA ; PLAÇA MAJOR 1,AJUNTAMENT DE BORRASSA,PLAÇA MAJOR 1,10#1702601001U#AJUNTAMENT DE BORRASSA ; PLAÇA MAJOR 1,
11,1703101001U,17,c1680,CABANELLES,ALT EMPORDA,ALTEMPORDA1G35,31,1,1,,U,A,Z,,c1680,AJUNTAMENT DE CABANELLES (BAIXOS) ; CARRE ESGLESIA 4,AJUNTAMENT DE CABANELLES (BAIXOS),CARRE ESGLESIA 4,11#1703101001U#AJUNTAMENT DE CABANELLES (BAIXOS) ; CARRE ESGLESIA 4,
