idmesa,codimesa,mesatancada,comarca,vnuls,vblancs,verc,vjxc,vcup,vpsc,vcs,vppc,vcom,vpacma,vdialeg,vpumjust,vrecortes,vfamilia,vdn,vpfiv,vconver,vunidos,vcilus,cens,acta,hihavots,hihaacta,origen,datetime,user,mesavalidada,mesacorrecte
2,1700101001U,1,ALT EMPORDA,4,6,168,161,37,26,63,7,16,6,,,,,,,,,,591,0002-2f4ec7c0-faff-4a57-9dd3-bd97e4328d9a.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
3,1700301001U,1,ALT EMPORDA,,,19,44,13,1,,2,1,1,,,,,,,,,,94,0003-1454e3fd-f260-47f2-a124-18ccb9253e08.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
4,1701101001U,1,ALT EMPORDA,2,7,156,280,40,33,48,3,9,1,,,,,,,,,,644,0004-8d08be75-515d-4aa3-a385-ddbd0c5c48d3.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
5,1701201001A,1,ALT EMPORDA,2,4,123,157,12,34,131,6,20,4,,,,,,,,,,598,0005-2910435e-e686-408f-a2ba-0527239300ca.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
6,1701201001B,1,ALT EMPORDA,,2,132,137,18,24,115,11,17,,,,1,,,,,,,549,0006-4efbd6d0-2a5c-4f70-8b19-e6fd2e93378a.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
7,1701601001U,1,ALT EMPORDA,,1,168,293,54,28,60,20,15,2,,1,,,,,,,,731,0007-6945729a-b03f-4fe9-8f00-b30f1ae9cf72.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
8,1723401001U,1,ALT EMPORDA,1,1,44,40,10,14,34,4,7,1,,,,,,,,,,180,0008-0e2b053b-e38a-43c5-8986-4999f4b0ab5a.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
9,1702901001U,1,ALT EMPORDA,2,2,49,59,15,8,27,3,8,,,,,,,,,,,205,0009-ffc0808e-33e6-48ee-95ec-f07094db2032.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
10,1702601001U,1,ALT EMPORDA,1,,98,258,19,17,65,7,10,2,,,,,,,,,,537,0010-caff005e-15b6-4f4f-9dd5-d92928dafa0e.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
11,1703101001U,1,ALT EMPORDA,,,33,70,26,2,11,5,3,1,,1,0,,,,,,,186,0011-c88160df-93e6-4ca2-98dc-e8de71358fff.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
12,1703001001U,1,ALT EMPORDA,4,1,98,187,30,36,122,24,13,3,,,1,,,,,,,628,0012-be7f39fe-0968-4aae-9872-9ecc473d3ffa.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
